condition,file,muted,no_speech_prob
random_noise_5s,sample_0006.wav,0,0.056091
random_noise_5s,sample_0007.wav,0,0.109356
random_noise_5s,sample_0008.wav,0,0.126106
random_noise_5s,sample_0009.wav,0,0.085578
random_noise_5s,sample_0010.wav,0,0.064229
random_noise_5s,sample_0011.wav,0,0.024088
random_noise_5s,sample_0012.wav,0,0.102761
random_noise_5s,sample_0013.wav,0,0.097818
random_noise_5s,sample_0014.wav,0,0.057533
random_noise_5s,sample_0015.wav,0,0.052626
random_noise_5s,sample_0016.wav,0,0.029654
random_noise_5s,sample_0017.wav,0,0.108601
random_noise_5s,sample_0018.wav,0,0.025553
random_noise_5s,sample_0019.wav,0,0.089420
random_noise_5s,sample_0020.wav,0,0.087074
random_noise_5s,sample_0021.wav,0,0.048726
random_noise_5s,sample_0022.wav,0,0.045064
random_noise_5s,sample_0023.wav,0,0.079209
random_noise_5s,sample_0024.wav,0,0.036805
random_noise_5s,sample_0025.wav,0,0.100509
random_noise_5s,sample_0026.wav,0,0.060208
random_noise_5s,sample_0027.wav,0,0.048263
random_noise_5s,sample_0028.wav,0,0.043275
random_noise_5s,sample_0029.wav,0,0.052267
random_noise_5s,sample_0030.wav,0,0.080946
random_noise_5s,sample_0031.wav,0,0.019690
random_noise_5s,sample_0032.wav,0,0.059099
random_noise_5s,sample_0033.wav,0,0.048748
random_noise_5s,sample_0034.wav,0,0.017433
random_noise_5s,sample_0035.wav,0,0.057593
random_noise_5s,sample_0036.wav,0,0.040370
random_noise_5s,sample_0037.wav,0,0.140076
random_noise_5s,sample_0038.wav,0,0.082489
random_noise_5s,sample_0039.wav,0,0.038579
trained_noise_5s,sample_0001.wav,1,0.672756
trained_noise_5s,sample_0002.wav,1,0.696460
trained_noise_5s,sample_0003.wav,1,0.675284
trained_noise_5s,sample_0004.wav,1,0.676417
trained_noise_5s,sample_0005.wav,1,0.706285
trained_noise_5s,sample_0006.wav,1,0.705532
trained_noise_5s,sample_0007.wav,1,0.684828
trained_noise_5s,sample_0008.wav,1,0.652362
trained_noise_5s,sample_0009.wav,1,0.691284
trained_noise_5s,sample_0010.wav,1,0.700044
trained_noise_5s,sample_0011.wav,1,0.656449
trained_noise_5s,sample_0012.wav,1,0.686243
trained_noise_5s,sample_0013.wav,1,0.623172
trained_noise_5s,sample_0014.wav,1,0.676726
trained_noise_5s,sample_0015.wav,1,0.655380
trained_noise_5s,sample_0016.wav,1,0.657836
trained_noise_5s,sample_0017.wav,1,0.654885
trained_noise_5s,sample_0018.wav,1,0.646958
trained_noise_5s,sample_0019.wav,1,0.673911
trained_noise_5s,sample_0020.wav,1,0.706923
trained_noise_5s,sample_0021.wav,0,0.585065
trained_noise_5s,sample_0022.wav,1,0.694091
trained_noise_5s,sample_0023.wav,1,0.655672
trained_noise_5s,sample_0024.wav,1,0.704680
trained_noise_5s,sample_0025.wav,1,0.671201
trained_noise_5s,sample_0026.wav,1,0.672615
trained_noise_5s,sample_0027.wav,1,0.685097
trained_noise_5s,sample_0028.wav,1,0.700192
trained_noise_5s,sample_0029.wav,1,0.715874
trained_noise_5s,sample_0030.wav,1,0.677064
trained_noise_5s,sample_0031.wav,1,0.717387
trained_noise_5s,sample_0032.wav,1,0.633842
trained_noise_5s,sample_0033.wav,1,0.702559
trained_noise_5s,sample_0034.wav,1,0.676429
trained_noise_5s,sample_0035.wav,1,0.720139
trained_noise_5s,sample_0036.wav,1,0.707715
trained_noise_5s,sample_0037.wav,1,0.680403
trained_noise_5s,sample_0038.wav,1,0.677567
trained_noise_5s,sample_0039.wav,1,0.655565
